componente,ambito,concepto,porcentaje_region,pais,decl,prog,ambos,solo_decl,solo_prog,ninguno,presencia
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,SAL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,PAN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,ARG,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,BOL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,HON,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,PAR,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,VEN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Fraternidad,5%,ARG,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,COL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,CUB,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,SAL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,PAN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,BOL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,CHL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,GUA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,MEX,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,PAR,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79%,VEN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Identidad,100%,ARG,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,BOL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,BRA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,COL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,SAL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,PAR,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,VEN,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Igualdad,79%,ARG,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,BOL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,BRA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,COL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,SAL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,PAN,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,PAR,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,URU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,VEN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,VEN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Justicia,79%,ARG,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,BOL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,CHL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,COL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,SAL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,PAN,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,PAR,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95%,URU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Libertad,53%,ARG,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,ECU,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,SAL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,GUA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,HON,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,VEN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,BOL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,BRA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,COL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,NIC,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,PAR,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Dignidad,63%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Participación,95%,ARG,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,BOL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,CHL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,COL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,CUB,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,SAL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,NIC,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,PAN,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,PAR,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,URU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Diversidad,100%,VEN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Responsabilidad,84%,ARG,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,BOL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,BRA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,CRI,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,GUA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,HON,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,NIC,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,PAR,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,URU,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,VEN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,COL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,CUB,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,ECU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,SAL,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,MEX,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Empatía,42%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,BRA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,COL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,ECU,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,SAL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,HON,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,PAR,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,ARG,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,BOL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,NIC,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,REP,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,URU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Equidad,58%,VEN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,BOL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,BRA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,COL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,ECU,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,SAL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,PAN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,VEN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,ARG,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,CUB,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,GUA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,MEX,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,PAR,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Equidad de género,Equidad de género,53%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,ARG,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,BOL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,COL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,CHL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,CUB,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,ECU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,CRI,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,SAL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,HON,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,GUA,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,MEX,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,NIC,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,PAN,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,PER,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,PAR,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,REP,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42%,VEN,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,ARG,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,BRA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,COL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,CUB,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,PAR,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Habilidades,Imaginación de hipótesis futuras,42%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Habilidades,Pensamiento crítico,89%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Habilidades,Pensamiento crítico,89%,CHL,DECL,,,SOLO DECL,,,SOLO DECL
